Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Ruzgar_Ort;Ruzgar_Max;Gunluk_ET0;Ilaclama;Kullenme;Tarih
37;19,47516233;38,32328529;20,92134479;9,369780616;5,774335378;10,82120953;17,69620986;27,23159963;29,27023002;14,85749152;10,82964824;16,70108672;22,91201766;27,45929347;23,79129573;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
38;35,38870834;32,60760464;20,15101172;10,80358539;5,745208129;11,02765838;18,18325044;26,88974033;29,07454756;14,92344852;11,50045864;15,17245476;21,57990912;27,98207169;22,75305794;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
39;19,72476936;35,31429254;16,45009985;13,39273934;7,677568943;11,6913175;18,10849932;25,84532251;28,99944786;14,69382288;7,939249729;16,74335477;22,67383718;25,39317341;22,67761155;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
40;32,38376618;36,2558024;24,06567192;15,68093269;6,400640091;11,78017638;18,17123465;25,92400412;29,15322314;14,82794423;9,073828826;16,1762288;22,03396763;25,28489643;22,93723651;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
41;28,00800464;35,43540325;25,06876348;13,8303501;7,304317905;11,80862079;19,00399161;26,88960455;28,91414283;14,26972779;10,42233544;15,67734676;23,0602545;26,98100436;22,74453727;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
42;21,52657819;34,78287166;24,9022836;15,94118207;6,329468889;11,51322229;18,30893956;25,91970252;29,96356711;14,75689671;7,843776278;17,75308177;21,04582863;26,88846056;22,84372117;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
43;32,89399386;35,60305688;16,39583025;12,3940191;6,540826203;12,13355742;19,1064213;26,62959294;29,67997261;14,92361374;8,683602858;15,20610266;24,29304937;27,07555328;23,34262075;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
44;27,57766255;35,15433435;19,09984249;12,54367513;5,301159898;10,76745721;18,81941765;27,11444946;29,67247091;13,99072165;10,11680542;15,03040756;22,31673306;27,01699304;23,74115856;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
45;37,75627688;36,21708506;16,94449457;11,36483825;8,276492617;10,7728262;18,64843803;27,22106189;29,20921674;15,30647043;7,881367766;17,32818691;22,63075509;27,32420981;23,34227234;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
46;34,08419012;33,71553969;22,66689216;9,509265477;6,214606657;11,55782481;18,36831033;25,88015103;29,19928718;14,36373991;12,88704994;15,05672908;21,64480314;28,39829959;23,13497812;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
